PDB	Name
8XQE	scFv16
8XQF	scFv16
8XWP	scFv16
8XWQ	scFv16
8XWV	scFv16
8XX3	scFv16
8XX6	scFv16
8XXH	scFv16
8XXR	scFv16
8XXV	scFv16
8XXX	scFv16
8XXZ	scFv16
8XYD	scFv16
8XYK	scFv16
8XZF	scFv16
8XZH	scFv16
8XZI	scFv16
8XZJ	scFv16
8Y01	scFv16
8Y02	scFv16
8Y0N	scFv16
8Y45	scFv16
8Y51	scFv16
8Y62	scFv16
8Y63	scFv16
8Y6W	scFv16
8Y71	scFv16
8Y72	scFv16
8Y73	scFv16
8YKV	scFv16
8YKW	scFv16
8YKX	scFv16
8YN5	scFv16
8YN6	scFv16
8YN7	scFv16
8YN8	scFv16
8YN9	scFv16
8YNA	scFv16
8YUV	scFv16
8YZK	scFv150-18
8Z3Q	scFv16
8Z3Y	scFv16
8Z65	scFv16
8Z68	scFv16
8Z7J	scFv16
8Z8A	scFv16
8Z8B	scFv16
8ZBI	scFv16
8ZBJ	scFv16
8ZD1	scFv16
8ZF6	scFv16
8ZF9	scFv16
8ZFC	scFv16
8ZFZ	scFv16
8ZJG	scFv16
8ZME	scFv16
8ZQE	scFv16
8ZWG	scFv16
9B54	scFv16
9B65	scFv16
9BQJ	scFv16
9BSB	scFv16
9BUY	scFv16
9CGJ	scFv16
9CGK	scFv16
9CM7	scFv16
9EBH	scFv16
9EGO	scFv16
9EJC	scFv16
9ERX	scFv16
9F33	scFv16
9F34	scFv16
9GE3	scFv16
9II2	scFv30
9II3	scFv30
9IJR	scFv30
9IJS	scFv30
9IK8	scFv16
9IK9	scFv16
9IPV	scFv16
9IV1	scFv16
9IV6	scFv16
9IY8	scFv16
9IZA	scFv16
9IZC	scFv16
9IZD	scFv16
9IZF	scFv16
9IZH	scFv16
9J0B	scFv16
9J0I	scFv16
9J8Z	scFv16
9JED	scFv16
9JEQ	scFv16
9JFY	scFv16
9JH3	scFv16
9JHJ	scFv16
9JIC	scFv16
9JID	scFv16
9JKS	scFv16
9JKT	scFv16
9JKV	scFv16
9JKX	scFv16
9JKY	scFv16
9JLC	scFv16
9K20	scFv16
9K26	scFv16
9K27	scFv16
9K3F	scFv16
9K3H	scFv16
9K3K	scFv16
9K3L	scFv16
9K3P	scFv16
9K6L	scFv16
9KFI	scFv16
9KFJ	scFv16
9KFK	scFv16
9KFT	scFv16
9KO4	scFv16
9KPF	scFv16
9KT7	scFv16
9KT8	scFv16
9KT9	scFv16
9KUG	scFv16
9KUT	scFv16
9KV6	scFv16
9KV8	scFv16
9KVG	scFv16
9KVH	scFv16
9KVI	scFv16
9KVP	scFv16
9KWG	scFv16
9KWX	scFv16
9KX6	scFv16
9KXS	scFv16
9KZ2	scFv16
9KZ8	scFv16
9L0H	scFv16
9L79	scFv16
9L80	scFv16
9LL7	scFv16
9LR2	scFv16
9LR3	scFv16
9LRD	scFv16
9LRE	scFv16
9LW5	scFv16
9M0R	scFv16
9M1O	scFv16
9M2F	scFv16
9MBA	scFv30
9NS9	scFv16
9O36	scFv16
9OXA	scFv16
9P0K	scFv16
9P0L	scFv16
9P0M	scFv16
9PA1	scFv16
9PA2	scFv16
9PA3	scFv16
9PA4	scFv16
9PA5	scFv16
9PA6	scFv16
9PLO	scFv16
9PPW	scFv16
9PPX	scFv16
9PPY	scFv16
9PPZ	scFv16
9PQ0	scFv16
9PXV	scFv16
9UMJ	scFv16
9UMR	scFv16
9UMX	scFv16
9UPU	scFv16
9UPV	scFv16
9UWV	scFv16
9UYH	scFv30
9UYI	scFv30
9UYJ	scFv30
9UYL	scFv30
9UYM	scFv30
9V6O	scFv16
9VAT	scFv16
9VAU	scFv16
9VAV	scFv16
9VAX	scFv16
9VAY	scFv16
9VAZ	scFv16
9VB0	scFv16
9VB1	scFv16
9VB2	scFv16
9VB3	scFv16
9VB4	scFv16
9VB5	scFv16
9VB7	scFv16
9VI9	scFv16
9VIF	scFv16
9VJ5	scFv16
9VJE	scFv16
9VJF	scFv16
9VJG	scFv16
9VJT	scFv16
9VMY	scFv16
9VNF	scFv16
9VNY	scFv16
9VNZ	scFv16
9VO0	scFv16
9VO1	scFv16
9VPN	scFv16
9W49	scFv16
9W6W	scFv16
9WIK	scFv16
9WQK	scFv16
9WXM	scFv16
9X20	scFv16
9YDU	scFv16
9YDV	scFv16
