PDB	Name
8ZMD	LgBiT
8ZMD	HiBiT
8ZYU	BRIL
9AST	LargeBit
9B5Y	LargeBit
9B5Y	HiBiT
9CBL	T4-Lysozyme
9CBM	T4-Lysozyme
9CLW	LargeBit
9D3E	BRIL
9D3G	BRIL
9DQH	BRIL
9DQJ	BRIL
9DYD	BRIL
9EAH	BRIL
9EAI	BRIL
9EAJ	BRIL
9GE2	Folding Reporter GFP
9GYO	BRIL
9ITB	BRIL
9ITB	LgBiT
9ITB	HiBiT
9ITE	BRIL
9ITE	LgBiT
9IXX	BRIL
9IXX	NanoBiT (LargeBit/SmBiT)
9IYB	BRIL
9IYB	LgBiT
9IYB	HiBiT
9IZG	BRIL
9IZG	LgBiT tag
9J31	BRIL
9J31	LgBiT
9J31	HiBiT
9J5V	LgBiT
9J5V	HiBiT
9JFK	BRIL
9JFT	BRIL
9JH5	BRIL
9JH5	Endoglucanase H
9JH6	BRIL
9JHP	Endoglucanase H
9JMC	BRIL
9JMD	BRIL
9JVG	BRIL
9K07	LgBiT
9K07	HiBiT (Peptide 86 subunit)
9KDF	Calcineurin CN-B
9KDF	Calcineurin CN-A
9KDG	Calcineurin
9KPD	Sialidase NanA
9KPE	NanA (exo-alpha-sialidase)
9KPE	LgBiT
9KUV	BRIL
9KUV	V2R C-tail
9KUW	BRIL
9KUX	BRIL
9KZK	Muscarinic acetylcholine receptor M4 N-terminal region
9LDV	BRIL
9LDZ	BRIL
9LE0	BRIL
9LE1	BRIL
9LL9	b562RIL
9LL9	LgBiT
9LL9	HiBiT
9LLA	b562RIL
9LLA	LgBiT
9LLB	BRIL
9LLB	LgBiT
9LLB	HiBiT
9LLJ	LgBiT
9LRS	BRIL
9LWP	LgBiT
9LWP	HiBiT
9M1H	BRIL
9M1H	LgBiT
9M1R	BRIL
9M1S	BRIL
9M1U	BRIL
9M42	Endo-1,4-beta-xylanase
9M54	BRIL
9M54	LgBiT
9M54	HiBiT
9M88	Glycogen synthase (PGS)
9M88	BRIL
9MD1	BRIL
9OXB	BRIL
9P1S	BRIL
9PEE	BRIL
9PXU	BRIL
9PY2	b562RIL
9QXL	Green fluorescent protein
9RKI	Endolysin
9UAM	Oplophorus-luciferin 2-monooxygenase catalytic subunit
9UAM	Beta-2 adrenergic receptor
9UAN	Beta-2 adrenergic receptor
9UAN	Oplophorus-luciferin 2-monooxygenase catalytic subunit
9UAP	De novo designed fusion protein
9UAZ	Clip fusion protein
9UCP	De novo designed fusion protein
9UTB	mScarlet3
9UTB	mNeonGreen
9UY3	BRIL
9UY3	LgBiT
9V2N	BRIL
9V81	BRIL
9VJ6	BRIL
9VMN	BRIL
9VMO	BRIL
9VMP	BRIL
9VO2	BRIL
9VUS	BRIL
9VUS	Maltose-binding protein (MBP)
9VV6	BRIL
9VV6	Maltose/maltodextrin-binding periplasmic protein
9W32	BRIL
9W33	BRIL
9W3K	MBP-ProteinA-ProteinG fusion
9W3K	BRIL
9WDI	M4-Receptor (residues 2-23)
9WEY	LgBiT
9WEY	HiBiT
9XDR	BRIL
9XDR	LgBiT
9XDR	HiBiT
9XF4	BRIL
9XF4	LgBiT
9XF4	HiBiT
9XHH	LgBiT
9XHH	HiBiT
9XHI	LgBiT
9XHI	HiBiT
9XQB	BRIL
9XQC	Maltose-binding protein
9XQC	LgBiT
10KT	BRIL
11TD	BRIL
11TF	BRIL
11TH	BRIL
11TK	BRIL
11TL	BRIL
21AG	BRIL
22EM	BRIL
24XZ	BRIL
24XZ	LgBiT tag
24XZ	GFP
3D4S	T4-Lysozyme
3EML	T4-Lysozyme
3NY8	T4-Lysozyme
3NY9	T4-Lysozyme
3NYA	T4-Lysozyme
3OE9	T4-Lysozyme
3P0G	T4-Lysozyme
3PBL	T4-Lysozyme
3PDS	T4-Lysozyme
3QAK	T4-Lysozyme
3RZE	T4-Lysozyme
3UON	T4-Lysozyme
3V2W	T4-Lysozyme
3V2Y	T4-Lysozyme
3VW7	T4-Lysozyme
4DJH	T4-Lysozyme
4EJ4	T4-Lysozyme
4GBR	T4-Lysozyme
4GRV	T4-Lysozyme
4IAQ	BRIL
4IAR	BRIL
4IB4	BRIL
4JKV	BRIL
4L6R	BRIL
4LDE	T4-Lysozyme
4LDL	T4-Lysozyme
4LDO	T4-Lysozyme
4N4W	BRIL
4N6H	BRIL
4NC3	BRIL
4NTJ	BRIL
4O9R	BRIL
4OO9	T4-Lysozyme
4OR2	BRIL
4PHU	T4-Lysozyme
4PXZ	BRIL
4PY0	BRIL
4QIM	BRIL
4QIN	BRIL
4RWA	BRIL
4RWD	BRIL
4RWS	T4-Lysozyme
4S0V	Pyrococcus abysii glycogen synthase (PGS)
4U14	dsT4L (disulfide-stabilized T4 lysozyme)
4XEE	T4-Lysozyme
4XES	T4-Lysozyme
4XNV	Rubredoxin
4YAY	BRIL
4Z34	BRIL
4Z35	BRIL
4Z36	BRIL
4Z9G	T4-Lysozyme
4ZJ8	Glycogen synthase
4ZUD	BRIL
4ZWJ	T4-Lysozyme
5CGC	Endolysin
5CGD	Endolysin
5D5B	T4-Lysozyme
5D6L	T4-Lysozyme
